SRC_STATION_NAME,SRC_STATION_ID,DEST_STATION_NAME,DEST_STATION_ID,OCT_ADT_FARE,OCT_STD_FARE,OCT_JOYYOU_SIXTY_FARE,SINGLE_ADT_FARE,OCT_CON_CHILD_FARE,OCT_CON_ELDERLY_FARE,OCT_CON_PWD_FARE,SINGLE_CON_CHILD_FARE,SINGLE_CON_ELDERLY_FARE
Lai Chi Kok,19,Kwai Fong,22,5.9,3.2,2,6,3.2,2,2,3.5,3.5
Lai Chi Kok,19,Kwai Hing,23,5.9,3.2,2,6,3.2,2,2,3.5,3.5
Lai Chi Kok,19,Tai Wo Hau,24,7.4,3.7,2,7.5,3.7,2,2,4,4
Lai Chi Kok,19,Tsuen Wan,25,7.4,3.7,2,7.5,3.7,2,2,4,4
Mei Foo,20,Lai King,21,4.9,3.2,2,5,3.2,2,2,3.5,3.5
Mei Foo,20,Kwai Fong,22,4.9,3.2,2,5,3.2,2,2,3.5,3.5
Mei Foo,20,Kwai Hing,23,5.9,3.2,2,6,3.2,2,2,3.5,3.5
Mei Foo,20,Tai Wo Hau,24,5.9,3.2,2,6,3.2,2,2,3.5,3.5
Mei Foo,20,Tsuen Wan,25,7.4,3.7,2,7.5,3.7,2,2,4,4
Lai King,21,Kwai Fong,22,4.9,3.2,2,5,3.2,2,2,3.5,3.5
Lai King,21,Kwai Hing,23,4.9,3.2,2,5,3.2,2,2,3.5,3.5
Lai King,21,Tai Wo Hau,24,5.9,3.2,2,6,3.2,2,2,3.5,3.5
Lai King,21,Tsuen Wan,25,5.9,3.2,2,6,3.2,2,2,3.5,3.5
Kwai Fong,22,Kwai Hing,23,4.9,3.2,2,5,3.2,2,2,3.5,3.5
Kwai Fong,22,Tai Wo Hau,24,4.9,3.2,2,5,3.2,2,2,3.5,3.5
Kwai Fong,22,Tsuen Wan,25,5.9,3.2,2,6,3.2,2,2,3.5,3.5
Kwai Hing,23,Tai Wo Hau,24,4.9,3.2,2,5,3.2,2,2,3.5,3.5
Kwai Hing,23,Tsuen Wan,25,4.9,3.2,2,5,3.2,2,2,3.5,3.5
Tai Wo Hau,24,Tsuen Wan,25,4.9,3.2,2,5,3.2,2,2,3.5,3.5
